,lr,l2,train_r2,test_r2
0,0.01,0.0,-66.34595154523849,-66.34595154523849
1,0.01,0.01,-57.51793946027756,-57.51793946027756
2,0.01,0.05,-70.44213386774064,-70.44213386774064
3,0.01,0.1,-56.38469136953354,-56.38469136953354
4,0.01,0.5,-62.93544230461121,-62.93544230461121
5,0.005,0.0,-67.08589551448821,-67.08589551448821
6,0.005,0.01,-72.08625167608261,-72.08625167608261
7,0.005,0.05,-80.20880177021027,-80.20880177021027
8,0.005,0.1,-55.55742688775062,-55.55742688775062
9,0.005,0.5,-67.95000047683716,-67.95000047683716
10,0.001,0.0,-75.0622577548027,-75.0622577548027
11,0.001,0.01,-54.22130366563797,-54.22130366563797
12,0.001,0.05,-59.948324906826016,-59.948324906826016
13,0.001,0.1,-75.13476523160935,-75.13476523160935
14,0.001,0.5,-58.68732725381851,-58.68732725381851
15,0.0005,0.0,-65.29906519651414,-65.29906519651414
16,0.0005,0.01,-65.17979014515876,-65.17979014515876
17,0.0005,0.05,-68.15969910621644,-68.15969910621644
18,0.0005,0.1,-66.48358730077743,-66.48358730077743
19,0.0005,0.5,-60.48264836668968,-60.48264836668968
20,0.0001,0.0,-129.48070611953736,-129.48070611953736
21,0.0001,0.01,-136.44398400783538,-136.44398400783538
22,0.0001,0.05,-140.79870777130128,-140.79870777130128
23,0.0001,0.1,-138.16050601005554,-138.16050601005554
24,0.0001,0.5,-131.29560809135438,-131.29560809135438
